,Class,DataType,filename,img_path,size,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,Plane,RW,biplane_00.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_00.png,151184,1.1510361,1.100576,-0.29843062,0.6453156,0.18643637,0.8991874,-0.2609938,0.5571645,-2.6759953,-0.0019226503,-0.7906558,-0.05854992,2.0086112,0.35030374,0.44167152,-0.10321709,-1.107971,0.9852761,-1.6420202,1.2578009,0.48346168,0.9234917,-0.21069925,-2.196196,0.82136977,2.2528987,-0.35440218,-1.40231,-1.1415038,-2.582747,0.504746,1.3978335
1,Plane,RW,biplane_01.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_01.png,126424,-0.27504832,1.1331285,0.8610491,0.034671627,0.317829,-2.0537798,-0.7181428,-0.46001464,0.2677282,-0.21973059,-2.8351517,-0.9098474,-1.021244,0.11107846,0.67088056,-0.12919639,-1.0062366,-0.5220883,-0.7338119,-0.24666706,-0.5563179,-1.3503094,0.15045622,-0.5936239,1.4641135,0.24326323,-2.0502102,-0.62068874,0.16276123,-2.1108305,-0.30832916,-0.73101026
2,Plane,RW,biplane_03.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_03.png,97816,-0.18236095,0.20437096,-1.2371777,1.0138912,-0.34468555,-3.282582,-1.6901131,0.1355781,1.3483698,-0.45736688,-2.4934986,-0.4309457,-2.3094223,-0.5328022,0.09947573,-0.76299804,-2.0203183,-2.613505,-0.20455997,-0.47600687,-0.5074233,-1.0517113,0.47874278,0.32783532,2.7429965,0.5038123,-1.5591936,-1.3249798,0.7545827,-2.7636306,-0.20882003,-1.6705879
3,Plane,RW,biplane_04.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_04.png,84623,0.24955224,1.1686094,0.6353499,-0.4951279,0.05976158,-1.3186657,-0.92592406,-0.69055694,0.4806828,-1.198331,-1.9490371,-1.1645362,-0.23032111,0.54709274,0.51382667,0.13956037,-0.30933473,1.0994124,-0.0107015,-0.2742787,-0.91954225,-1.0871794,0.19093099,-0.26799807,2.181287,0.57671386,-1.7929847,-0.04983113,-0.40645713,-1.7729757,-0.07371253,-0.14594923
4,Plane,RW,biplane_05.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_05.png,54497,-0.25785744,0.8815387,-0.9611984,0.55504507,0.8965733,-3.4067554,-2.8135846,0.12577224,0.07812947,-0.87801147,-1.8145553,-1.2028966,-1.0529764,-0.643677,-0.83159137,-0.3644442,-2.077715,-2.034292,0.38767254,0.18895823,-0.1376644,-0.20725611,-0.56909305,0.31563246,2.0413425,1.0683453,-1.0535096,-0.021841472,-0.71004283,-2.3839977,0.6251764,-0.97548145
5,Plane,RW,biplane_06.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_06.png,126961,-0.63838553,0.73704624,0.88283366,0.6158553,0.39283657,-2.5462465,0.08997656,-0.110623434,0.11178702,0.4646952,-3.7411914,-0.5335561,-1.0128682,-0.2379922,0.9927583,0.22866364,-0.29452282,-1.1457727,-0.762467,-0.0777019,-0.55556965,-1.8240439,-0.089623824,-0.85784614,0.6784679,-0.20610663,-1.2253405,0.079141684,-0.052959178,-1.4405665,0.27387735,-1.1493688
6,Plane,RW,biplane_08.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_08.png,109177,-0.015798172,-0.010633316,3.2154186,-0.7669856,0.69912946,-1.6479965,-0.35726643,-0.57090634,-1.3242935,-0.5981906,-0.94269806,0.32104325,3.6345282,-1.0530605,-0.7304713,-0.69759005,1.3757055,-0.7008135,0.75941193,1.5911021,-1.0444492,1.1586792,2.050577,0.36422658,1.1767282,-0.06442678,-0.267887,0.84736776,-1.0585308,-0.14285266,-0.0451762,0.96602815
7,Plane,RW,biplane_09.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_09.png,85440,-0.18917763,-0.48698416,-0.17211069,0.47646213,0.439761,-0.9161437,0.27937034,-1.7496059,-0.12707621,-0.13947351,-3.7131798,-1.1545477,-0.081802584,-2.1289113,1.2458284,0.5641587,-0.5585646,-3.4296978,-1.896619,0.08080905,-0.7005375,-0.06473992,-0.21758783,-0.32901153,-1.3711956,0.0339569,-1.178835,-0.57914567,0.34005344,-0.104113206,0.67308486,-1.4178096
8,Plane,RW,biplane_10.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_10.png,187329,-0.025526036,0.5752154,1.918017,-0.19670472,0.85036755,-1.9529825,-0.344653,-0.46258223,-1.7386861,-0.21180399,-2.4769194,-1.1162809,1.2874992,-1.013617,0.68459195,0.40895155,-0.13048492,-1.9716228,-1.0917995,0.6122578,-0.3042041,-0.40177378,0.22177923,-0.671156,0.35587895,0.44155893,-0.92480105,0.9118722,-1.4161898,-0.15136763,0.9516523,-0.21800889
9,Plane,RW,biplane_11.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_11.png,105760,-0.60404503,1.4057623,0.44583258,-0.676204,0.006065212,-3.036429,-1.5808426,0.3338387,0.6150642,-0.32983476,-2.5257413,-0.31381223,-0.09815737,0.47035837,-0.44901806,-0.19976522,-0.45250374,0.20241615,0.8106531,0.45000064,-1.0936415,-1.5578419,0.32754207,0.2776513,2.643523,0.18655574,-1.0256652,0.45880067,-0.26038837,-2.129261,0.09672852,-0.24742366
10,Plane,RW,biplane_12.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_12.png,60063,-0.71313375,1.2906734,0.631501,0.2255098,0.26683423,-3.3889525,-1.169171,0.88323444,0.36988196,0.35811996,-2.2508168,-0.061307143,-1.4839306,0.2165432,-0.03035742,-0.80048674,-0.73316693,-1.1820372,-0.073594086,-0.0016409494,-0.19155172,-1.7638421,0.70109075,-0.13706142,2.3987708,-0.13441882,-1.5513351,-0.23997468,-0.03537207,-1.9324121,-0.22708046,-1.313096
