,Class,DataType,filename,img_path,size,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,Plane,RW,biplane_00.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_00.png,151184,0.744889,-0.98830736,-0.562598,1.4404442,0.280081,-0.11190626,0.52943975,-1.335885,1.0019113,1.8164368,-0.14109613,0.15837348,-2.8099277,1.5055535,1.24825,-0.60865164,0.4204244,-0.53256226,-0.34290597,-1.2771013,-0.2898764,0.64651453,-0.94408774,-0.3576072,1.2720929,1.2378368,0.7818774,-0.8652649,-0.37503234,-0.104765564,-0.20811564,0.25338715
1,Plane,RW,biplane_01.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_01.png,126424,0.2544905,0.08913873,-1.1180189,0.5237297,-0.3001885,0.75266886,0.2131142,0.15874223,0.2388169,0.7698547,1.1301099,-0.23424739,-2.0411632,-0.14216879,0.08158376,0.31525937,-0.5108024,0.658715,-1.1776351,1.9370035,-0.71222764,-1.0528457,-0.13202244,0.2884164,-0.12365211,0.45191047,0.4249289,-0.055300266,0.34713846,0.013003321,0.26113433,1.3534011
2,Plane,RW,biplane_03.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_03.png,97816,-0.8706513,0.58291125,-0.35065436,0.28040645,-0.68033785,-1.280143,0.45377633,0.8782114,0.19733866,1.5277133,0.2479009,0.5180242,-0.76056117,-0.46920303,0.011809153,-0.58310246,-0.1658877,1.1356435,-0.6436137,2.903408,0.11026952,-0.58446187,-0.4970479,0.6006835,-0.26654968,1.4751968,0.10945994,-0.26730096,0.373705,-1.015785,-0.6520613,4.240451
3,Plane,RW,biplane_04.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_04.png,84623,0.8471871,-0.2997281,-0.97011334,0.41929337,0.3847043,-0.38975266,0.53205186,-0.30256322,-0.39284515,0.5138604,0.00636604,0.17238663,-1.4500749,0.09148204,0.3176283,0.47779372,-0.4479625,0.162127,0.3759223,0.71578753,-0.30320773,0.73724586,0.95111483,1.2165128,-0.38534936,0.7964035,0.6923244,-0.5303304,0.09433211,0.62822753,-0.32262158,0.92840904
4,Plane,RW,biplane_05.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_05.png,54497,-0.14112133,-0.2503998,0.5898391,0.03568218,-1.1600751,0.05366092,1.2033556,-0.8440863,0.30341452,1.6302874,-1.1846734,0.4293864,-1.3676519,0.33188722,0.4036528,0.11601628,0.5822729,-0.35830018,-0.4023118,2.9047682,-0.18138078,-0.34517276,-0.97778237,0.8869461,-0.9327482,1.8390317,-0.15074602,-0.0035656653,-0.57455254,0.1787833,0.8810996,2.4886906
5,Plane,RW,biplane_06.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_06.png,126961,-0.10662203,-0.65341187,-0.9596656,0.20524696,-0.8675215,0.6051342,0.396883,-0.38344255,0.34905463,0.29403794,0.47313344,-0.9646556,-1.3492739,-1.0480309,0.10820991,0.21275057,-0.08634688,-0.10181447,-0.43562913,1.770071,0.22009644,-0.84062904,-0.30411536,0.12228885,0.86847794,0.42174143,0.8878092,-0.44782153,0.74816376,0.118911415,0.654744,2.313644
6,Plane,RW,biplane_08.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_08.png,109177,0.9383641,-0.82875514,-0.46444863,-0.30350804,-1.9420588,-0.47913662,-0.9465574,0.39504233,-0.5973833,-1.1934928,-0.05245877,0.2894118,-1.2173816,0.06942933,-0.1773854,-0.04115923,-1.1030455,-0.39588812,0.020796504,-1.0680766,0.049039446,-0.9601622,-0.71069115,1.6212909,-0.4109281,1.3835574,-0.9359945,-0.4005425,1.394165,-1.3334137,-1.0457573,0.49985144
7,Plane,RW,biplane_09.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_09.png,85440,0.83924985,-0.13280642,-0.3238362,0.28019056,-1.8267528,-0.32105634,-1.6917878,-0.52652293,-0.33128944,0.7254142,1.2846202,0.48962584,-0.5016043,-0.38252038,-0.6366835,0.9142931,-0.9415254,-0.7990815,-0.96641505,-0.3542594,-0.67004323,0.21078125,-0.28656718,0.45691097,0.6126157,-0.40770245,1.4866676,0.6800449,-0.1319427,0.521452,0.16150008,2.6432853
8,Plane,RW,biplane_10.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_10.png,187329,1.0212467,-1.0108662,0.33813053,0.45231348,-1.1725695,0.09537159,-0.526928,0.2387299,1.4899812,-0.52601314,-0.55116034,-0.5240967,-1.0217115,0.14584084,-0.14892778,0.3684667,-0.97443885,-1.7863334,-0.40226972,0.54165715,-0.8857332,-1.0845747,-0.5395207,0.92492485,-0.008266391,0.46603715,0.80743885,-0.43292645,-0.2933831,1.0897793,0.020717189,1.565047
9,Plane,RW,biplane_11.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_11.png,105760,-0.40694758,-0.19112629,0.2990453,-0.90146023,-0.2971905,1.5638968,0.41405383,-0.49133238,1.1783123,-0.77678406,-1.2775462,-1.1778314,-2.5149548,1.2211127,0.94876504,1.3346347,-1.016357,-0.5705564,0.42043075,2.3394976,0.16811292,0.16995047,0.3702314,1.1019578,-0.13887675,1.155416,0.16609254,-0.4191021,0.7897657,0.49962002,-0.49308667,1.7600776
10,Plane,RW,biplane_12.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_12.png,60063,-0.22881752,0.37219527,0.3337684,-0.25485682,0.050508477,-0.48371765,0.383499,1.0315835,0.47563338,-0.5741871,1.0746583,-0.58921236,-1.8650368,-0.5415372,0.20678623,-0.22191082,-0.43964732,-0.19794711,-0.38512617,2.1110818,0.38422415,-0.7398304,-0.16946854,0.20321202,-0.36250287,0.4298961,0.8050761,-0.21026279,-0.40803143,-0.49254295,-0.6452653,1.9387939
11,Plane,RW,biplane_13.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_13.png,10220,0.65995586,-0.9200384,0.4067778,1.4148118,-2.5650327,-0.19440529,-2.7680743,-2.1486106,-0.20656393,0.6573742,0.9883645,1.0996889,0.6459577,1.5173647,-0.24435717,1.9867877,-0.36789685,0.79452217,-0.5236113,-0.080045685,0.01339914,0.8819625,-0.93100065,0.702546,1.1456083,0.82831836,-0.3378889,-0.6338723,0.49913043,0.3700584,-0.6687106,3.7530878
