,Class,DataType,filename,img_path,size,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,Plane,RW,biplane_00.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_00.png,151184,0.42510626,-0.18203543,1.7508032,-1.8409317,-0.79829407,2.1246917,-0.5999784,0.39464396,-0.43767348,0.116235316,-0.085924484,-0.31544688,-0.79548913,-0.5048067,-0.03747211,0.051890112,-0.11132031,0.44381368,2.0398176,-0.08668955,-0.012723442,0.53422695,0.8081218,0.90365475,-0.58593166,-0.87636566,-0.6020951,0.5678678,1.0530391,0.91541976,0.12283215,-1.4704049
1,Plane,RW,biplane_01.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_01.png,126424,0.015047134,-0.111645,-0.17714992,-5.739088,0.6107066,0.8146056,0.5840891,0.33259612,0.43778822,0.3082928,-0.15175635,0.18368639,-1.6168929,0.5175117,-0.28463697,0.9958385,-1.3730842,0.5530629,-0.15679102,0.12363677,-0.038989227,-0.14628437,1.2791893,-0.0109928725,1.149065,-1.0392237,0.29237366,-0.06822709,-0.12109954,-0.2048686,0.5116223,1.035299
2,Plane,RW,biplane_03.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_03.png,97816,0.26379463,0.42349356,0.35413018,-6.120692,0.7733858,-1.2328697,0.72313863,-0.18459232,-1.5576596,0.09389396,-0.52719575,-0.29725388,-2.3311963,0.32884416,0.30096072,0.594404,-0.41150096,-0.008536786,0.2442588,-0.21903615,-0.4216928,0.6186077,0.8683265,-0.64271915,0.23174949,-1.5682491,0.8607679,-0.18980414,0.6217209,-0.15242665,1.8509839,0.5833665
3,Plane,RW,biplane_04.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_04.png,84623,-0.5200351,0.87701887,-0.3833344,-4.482106,0.97421074,1.7726816,0.052795283,-1.2774782,1.1852175,0.09657699,-0.2601885,-0.14316311,-0.5694683,1.2510035,0.55055416,0.025939515,-0.9483826,-0.25583544,0.03683839,0.2751861,-0.4283709,-0.26128373,0.0018181597,0.20115353,0.93416756,0.8202624,0.59217423,0.03810987,-0.2924095,0.20475739,1.1092366,-0.38879678
4,Plane,RW,biplane_05.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_05.png,54497,-0.2587577,1.2297292,-0.1237037,-5.5888586,0.4054546,0.7692273,-0.20137787,-1.099348,-0.5374666,0.3120717,-0.19576395,0.10073455,-1.3874083,0.42678204,0.23614447,0.6892991,0.6810682,0.4645922,-0.21983485,-0.18478888,1.3837241,0.7412318,0.38826686,0.5225451,-0.18944521,-1.0838405,0.0981839,-0.44871646,0.2871487,-0.4682637,0.06732377,-1.0046519
5,Plane,RW,biplane_06.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_06.png,126961,0.6920258,-0.71013194,0.13001274,-5.332205,-0.17375877,0.6690509,1.3730812,0.5158618,0.4933612,0.85113716,-0.07626064,0.119042605,-1.6653342,-0.7607142,0.3188255,0.80194354,-0.63015753,1.0383935,-0.18500859,-0.0027617617,0.401103,0.6016571,1.6149145,-0.9102294,0.9931548,0.15496689,0.5291137,0.21034725,0.79101694,0.26537153,0.0619511,-0.64092934
6,Plane,RW,biplane_08.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_08.png,109177,0.34172094,-0.12572712,0.6707469,-2.3357413,0.014135603,2.8504016,0.8376848,-2.2359824,-1.7677759,-0.30810812,0.030442584,0.07131672,0.18204199,-0.07470598,-1.4937482,-1.4490585,0.1588616,0.4605775,0.49459964,1.7592527,-0.9171575,0.48842824,0.17725493,0.9438837,0.96249664,0.14167458,-0.5506375,0.4355996,0.04811279,0.21660286,1.2133266,1.4484541
7,Plane,RW,biplane_09.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_09.png,85440,0.1644411,0.26460436,0.26301017,-2.5757742,0.1488247,0.43663195,1.549375,0.95627666,-2.4838169,-0.19216004,0.67094874,0.29388905,-1.8416755,0.68123364,-0.1933412,0.9103284,0.012235866,0.5241595,0.52988935,0.43654191,0.5570772,0.6282996,-0.26243252,-0.5831271,1.3966568,0.57057947,-1.0177429,1.2420266,-1.3483369,0.16094251,-0.64438844,0.1703026
8,Plane,RW,biplane_10.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_10.png,187329,-0.643807,0.54653656,-0.53163296,-3.3546388,-0.045894857,1.0898985,1.2426469,-0.28181186,-1.2586313,0.1358994,-0.2955438,1.2194257,-0.51451415,-0.020470709,-0.11608515,-0.8106745,0.5533727,1.63243,0.8611269,1.2529435,0.14759174,-0.18618087,-0.059489716,-0.76265764,-0.60671157,0.798224,-0.9941306,0.5384457,0.18963064,0.6015551,-1.8686309,-0.2608891
9,Plane,RW,biplane_11.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_11.png,105760,0.42833453,0.40335608,0.6206766,-5.678038,0.47219968,0.46827763,-0.0277541,-1.0704268,0.050707255,0.72837996,-1.1096505,-0.12896504,-0.06655676,0.24793798,0.09352389,0.5296041,-0.95078975,0.40877643,0.3983684,-0.43691108,-0.257676,-1.9538882,-0.59225017,-0.34493288,-0.37875164,-0.16346657,-0.124032244,0.30426496,1.4637969,-0.3713102,0.8198157,0.04989878
